[task 000 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3701 artifacts=1
[task 000 | arm cli-skills | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=7226 artifacts=1
[task 001 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=8482 artifacts=0
[task 001 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=15526 artifacts=0
[task 002 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=12571 artifacts=0
[task 002 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=20640 artifacts=0
[task 003 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=30961 artifacts=0
[task 003 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=41649 artifacts=0
[task 004 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=39708 artifacts=0
[task 004 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=42149 artifacts=0
[task 005 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=50535 artifacts=0
[task 005 | arm cli-skills | trial 0] stop=end_turn tool_calls=10 rejected=0 tokens=37130 artifacts=0
[task 006 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=38651 artifacts=0
[task 006 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=1 tokens=31947 artifacts=0
[task 007 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=59505 artifacts=0
[task 007 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=35328 artifacts=0
[task 008 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=31603 artifacts=0
[task 008 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=42318 artifacts=0
[task 009 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=73805 artifacts=0
[task 009 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=44715 artifacts=0
[task 010 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=14359 artifacts=0
[task 010 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=24093 artifacts=0
[task 011 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=8347 artifacts=0
[task 011 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=15355 artifacts=0
[task 012 | arm cli-only | trial 0] stop=end_turn tool_calls=10 rejected=0 tokens=28550 artifacts=0
[task 012 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=42239 artifacts=0
[task 013 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 013 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 014 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 014 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 015 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=30953 artifacts=0
[task 015 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=41879 artifacts=0
[task 016 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=38852 artifacts=0
[task 016 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=32027 artifacts=0
[task 017 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=15971 artifacts=0
[task 017 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=23157 artifacts=0
[task 018 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=91730 artifacts=0
[task 018 | arm cli-skills | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=121119 artifacts=0
[task 019 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=40175 artifacts=0
[task 019 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=1 tokens=29399 artifacts=0
[task 020 | arm cli-only | trial 0] stop=end_turn tool_calls=27 rejected=0 tokens=42342 artifacts=0
[task 020 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=1 tokens=40300 artifacts=0
[task 021 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=32632 artifacts=0
[task 021 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=45542 artifacts=0
[task 022 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=18214 artifacts=0
[task 022 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=16428 artifacts=0
[task 023 | arm cli-only | trial 0] stop=end_turn tool_calls=17 rejected=3 tokens=41804 artifacts=0
[task 023 | arm cli-skills | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=45662 artifacts=0
