[task 000 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3415 artifacts=1
[task 000 | arm cli-skills | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=6787 artifacts=1
[task 001 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=7612 artifacts=0
[task 001 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=14366 artifacts=0
[task 002 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=14241 artifacts=0
[task 002 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=18945 artifacts=0
[task 003 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=27386 artifacts=0
[task 003 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=37563 artifacts=0
[task 004 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=1 tokens=69134 artifacts=0
[task 004 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=51277 artifacts=0
[task 005 | arm cli-only | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=37147 artifacts=0
[task 005 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=54818 artifacts=0
[task 006 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=40187 artifacts=0
[task 006 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=29868 artifacts=0
[task 007 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=61961 artifacts=0
[task 007 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=29527 artifacts=0
[task 008 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=30262 artifacts=0
[task 008 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=34460 artifacts=0
[task 009 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=44863 artifacts=0
[task 009 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=86880 artifacts=0
[task 010 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=15889 artifacts=0
[task 010 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=29564 artifacts=0
[task 011 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=7602 artifacts=0
[task 011 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=14326 artifacts=0
[task 012 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=1 tokens=40121 artifacts=0
[task 012 | arm cli-skills | trial 0] stop=end_turn tool_calls=15 rejected=0 tokens=120411 artifacts=0
[task 013 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 013 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 014 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 014 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 015 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=33887 artifacts=0
[task 015 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=37429 artifacts=0
[task 016 | arm cli-only | trial 0] stop=max_turns tool_calls=39 rejected=0 tokens=215497 artifacts=0
[task 016 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=52736 artifacts=0
[task 017 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=14187 artifacts=0
[task 017 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=20909 artifacts=0
[task 018 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=1 tokens=72222 artifacts=0
[task 018 | arm cli-skills | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=82449 artifacts=0
[task 019 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=29313 artifacts=0
[task 019 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=19144 artifacts=0
[task 020 | arm cli-only | trial 0] stop=end_turn tool_calls=16 rejected=1 tokens=36214 artifacts=0
[task 020 | arm cli-skills | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=36058 artifacts=0
[task 021 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=22136 artifacts=0
[task 021 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=33165 artifacts=0
[task 022 | arm cli-only | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=23210 artifacts=0
[task 022 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=36739 artifacts=0
[task 023 | arm cli-only | trial 0] stop=end_turn tool_calls=18 rejected=1 tokens=48835 artifacts=0
[task 023 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=27526 artifacts=0
[task 024 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=16 tokens=228196 artifacts=0
[task 024 | arm cli-skills | trial 0] stop=end_turn tool_calls=13 rejected=6 tokens=80849 artifacts=0
[task 025 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=0 tokens=55913 artifacts=0
[task 025 | arm cli-skills | trial 0] stop=max_turns tool_calls=25 rejected=1 tokens=100939 artifacts=0
[task 026 | arm cli-only | trial 0] stop=end_turn tool_calls=26 rejected=0 tokens=52083 artifacts=0
[task 026 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=22959 artifacts=0
[task 027 | arm cli-only | trial 0] stop=end_turn tool_calls=21 rejected=1 tokens=81893 artifacts=0
[task 027 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=57651 artifacts=0
[task 028 | arm cli-only | trial 0] stop=max_turns tool_calls=51 rejected=1 tokens=260654 artifacts=0
[task 028 | arm cli-skills | trial 0] stop=max_turns tool_calls=45 rejected=7 tokens=179772 artifacts=0
[task 029 | arm cli-only | trial 0] stop=max_turns tool_calls=39 rejected=0 tokens=258975 artifacts=0
[task 029 | arm cli-skills | trial 0] stop=end_turn tool_calls=17 rejected=0 tokens=116643 artifacts=0
[task 030 | arm cli-only | trial 0] stop=end_turn tool_calls=16 rejected=0 tokens=21887 artifacts=0
[task 030 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=17369 artifacts=0
[task 031 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=9 tokens=250081 artifacts=0
